,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,BUILT YEAR,COORDINATES
124,Single Family Residential,1 Byron Ct,San Francisco,CA,94112,1388000,4.0,3.0,Crocker Amazon,2003.0,693.0,,37.709635799999994,-122.4433842,1978,"37.709635799999994,-122.4433842"
125,Single Family Residential,439 E Princeton St,San Francisco,CA,94134,999000,4.0,2.5,Portola,1306.0,765.0,,37.724340600000005,-122.41406359999999,1949,"37.724340600000005,-122.41406359999999"
126,Condo/Co-op,3731 Fillmore St #6,San Francisco,CA,94123,995000,1.0,1.0,Marina,792.0,1256.0,430.0,37.8049149,-122.4375445,1928,"37.8049149,-122.4375445"
127,Single Family Residential,4118 20th St,San Francisco,CA,94114,3350000,4.0,3.5,Eureka Valley/Dolore,2287.0,1465.0,,37.7579691,-122.43298850000001,1905,"37.7579691,-122.43298850000001"
128,Single Family Residential,532 Lyon St,San Francisco,CA,94117,4695000,5.0,4.5,North Panhandle,3919.0,1198.0,,37.7758013,-122.44271280000001,1904,"37.7758013,-122.44271280000001"
129,Condo/Co-op,1140 Page St,San Francisco,CA,94117,2289000,3.0,2.0,Haight Ashbury,1850.0,1237.0,510.0,37.7721199,-122.43956740000002,2012,"37.7721199,-122.43956740000002"
130,Condo/Co-op,750 Lake St,San Francisco,CA,94118,1895000,2.0,2.0,Lake,,,,37.7867156,-122.46772460000001,nan,"37.7867156,-122.46772460000001"
131,Single Family Residential,137 Ashton Ave,San Francisco,CA,94112,1595000,3.0,2.5,Merced Heights,1605.0,994.0,,37.7207164,-122.46244750000001,1924,"37.7207164,-122.46244750000001"
132,Condo/Co-op,1832 Page St #2,San Francisco,CA,94117,995000,2.0,2.0,Haight Ashbury,990.0,1005.0,409.0,37.7706724,-122.4510696,1900,"37.7706724,-122.4510696"
133,Condo/Co-op,3395 Market St,San Francisco,CA,94114,825000,1.0,1.0,Eureka Valley/Dolore,742.0,1112.0,396.0,37.7579936,-122.44308259999998,1906,"37.7579936,-122.44308259999998"
134,Single Family Residential,1089 Clayton St,San Francisco,CA,94117,2190000,3.0,2.0,Buena Vista Park,1615.0,1356.0,,37.76279470000001,-122.4471883,1941,"37.76279470000001,-122.4471883"
135,Condo/Co-op,1 Hawthorne St Unit 6J,San Francisco,CA,94105,1395000,2.0,2.0,Yerba Buena,1247.0,1119.0,1269.0,37.7857356,-122.39895209999999,2010,"37.7857356,-122.39895209999999"
